Date,belt,navel,weight,Fat kg,Non Fat kg,US Navy Fat %
11-Jan-14,94,88,78,14.63863965,63.36136035,18.76748673
21-Nov-14,97,91,83,17.39078516,65.60921484,20.95275321
21-Jan-16,88.8,85,78,12.82818434,65.17181566,16.44639018
28-Jan-16,86,79.75,77.6,9.313025287,68.28697471,12.00132125
29-Jan-16,85,79,77.3,8.750996169,68.54900383,11.32082299
01-Feb-16,85.3,78.9,76.8,8.623984097,68.1760159,11.22914596
03-Feb-16,85,78,76.4,7.9408383,68.4591617,10.39376741
05-Feb-16,86,78.25,76.1,8.087677575,68.01232242,10.62769721
07-Feb-16,87,78,75.8,7.878475695,67.9215243,10.39376741
11-Feb-16,85,76.5,75,6.718921804,68.2810782,8.958562405
15-Feb-16,84,76,75.5,6.393067742,69.10693226,8.467639393
19-Feb-16,83.8,74.5,74.4,5.17446723,69.22553277,6.954929073
21-Feb-16,82.5,75.5,74.8,5.961693423,68.83830658,7.970178373
25-Feb-16,83.5,77.35,75.07,7.340797788,67.72920221,9.778603687
27-Feb-16,,76.75,74.5,6.855210941,67.64478906,9.201625424
05-Mar-16,,80.5,76.3,9.666938272,66.63306173,12.66964387
02-Jul-16,86.8,81.25,76.6,10.20788368,66.39211632,13.3262189
05-Jul-16,87,81.5,76.7,10.38712621,66.31287379,13.54253743
07-Jul-16,87,82,76.8,10.73007531,66.06992469,13.97145222
18-Jul-16,88,81,,0,0,13.10864035
11-Aug-16,85,80,,0,0,12.22542669
30-Dec-16,93.5,87.6,82.6,15.25309333,67.34690667,18.46621468
31-Dec-16,90.7,85.9,82,14.06954965,67.93045035,17.15798738
03-Jan-17,90,85.125,,0,0,16.5460375
09-Jan-17,90,84.25,80.1,12.6901297,67.4098703,15.84285855
11-Jan-17,90,82.5,80,11.51639827,68.48360173,14.39549784
14-Jan-17,,82,,0,0,13.97145222
19-Jan-17,89.5,82,79.7,11.13524742,68.56475258,13.97145222
25-Jan-17,90,82.25,79.6,11.2905251,68.3094749,14.18407676
01-Jun-17,94,89.5,87,17.29220527,69.70779473,19.87609801
02-Jun-17,94,89.5,84.5,16.79530282,67.70469718,19.87609801
18-Jul-17,96,92,85.5,18.51387973,66.98612027,21.6536605
21-Jul-17,96,91,85.3,17.87269849,67.42730151,20.95275321
25-Jul-17,93.5,90.5,83.9,17.28113898,66.61886102,20.5973051
19-Sep-17,97,92.5,84.7,18.63335891,66.06664109,21.9992431
22-Sep-17,95,89,83.8,16.34955144,67.45044856,19.51020458
26-Sep-17,91,89,82.8,16.15444939,66.64555061,19.51020458
01-Oct-17,95,90.25,,,,20.41830457
04-Oct-17,91,87.75,82.4,15.30948875,67.09051125,18.57947664
05-Oct-17,92,,81.4,,,#NUM!
10-Oct-17,90.5,86,82,14.13370318,67.86629682,17.23622338
24-Oct-17,90.5,87,80,14.40776081,65.59223919,18.00970102
03-Nov-17,91,85,82.2,13.51893273,68.68106727,16.44639018
15-Jan-18,95,90.75,83.5,17.34750238,66.15249762,20.77545195
24-Jan-18,96,91.25,,,,21.12921687
18-Feb-18,91.5,,80,,,#NUM!
23-Feb-18,90.5,,76.5,,,#NUM!
28-Feb-18,89.5,83.25,79,11.867913,67.132087,15.02267469
02-Mar-18,88.9,81,78,10.22473948,67.77526052,13.10864035
